Nested Sampling Global Log-Evidence           :   -0.162539272302580251E+02  +/-    0.860572226264888218E-01
Nested Importance Sampling Global Log-Evidence:   -0.156580472050074651E+02  +/-    0.724779294808340080E-01

Dim No.       Mean        Sigma
   1    0.103272168065312742E+01    0.196690699945485034E-01
   2    0.177225401396164606E+01    0.261640156817215086E+00
   3    0.694212597271301579E+01    0.283675721019678884E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.103100591958378240E+01
   2    0.181380590706845490E+01
   3    0.690700058626266244E+01

MAP Parameters
Dim No.        Parameter
   1    0.105616860382991673E+01
   2    0.192329504745326196E+01
   3    0.597910652652806895E+01
