Nested Sampling Global Log-Evidence           :   -0.131741619184131139E+03  +/-    0.737814459133382256E-01
Nested Importance Sampling Global Log-Evidence:   -0.131717819832073616E+03  +/-    0.133743517284327651E+00

Dim No.       Mean        Sigma
   1    0.991458766205536191E+00    0.148925404585684897E-01
   2    0.162152415974470676E+01    0.121448864527962530E+01
   3    0.160858600465856916E+01    0.124231747324104580E+01
   4    0.110876018836381025E+02    0.169691293104177809E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.989388547814415098E+00
   2    0.165978960347305970E+01
   3    0.836534386960522625E+00
   4    0.105174149142772642E+02

MAP Parameters
Dim No.        Parameter
   1    0.970025057923181722E+00
   2    0.524360907556156719E+00
   3    0.202288565205496962E+01
   4    0.968389322378129336E+01
