    0.102379989863381726E+01    0.160079787208886715E+01    0.262613610512632789E+01    0.229425356207379636E+02   -0.135482018745381879E+03
    0.101216408780320410E+01    0.941483368013787070E+00    0.215022298709280246E+01    0.207780493545782328E+02   -0.135122967845695911E+03
    0.103154490451034997E+01    0.222868904209454266E+01    0.176762787791247789E+01    0.182501493353505992E+02   -0.133878054520232411E+03
    0.999621347095301038E+00    0.182233209934074925E+01    0.214921663797602314E+01    0.197050972941686346E+02   -0.133877129049831211E+03
    0.929613727331161543E+00    0.406943351030349731E+01    0.339503288269042969E+00    0.104010075330734253E+02   -0.133816306133050290E+03
    0.991942416035340058E+00    0.325708328955081683E+01    0.249913337807682545E+00    0.145724098243256748E+02   -0.133610869829749021E+03
    0.104562884732964312E+01    0.885919551342556733E+00    0.607366545263533730E+00    0.828734021944892341E+01   -0.133504614967648251E+03
    0.104195159340983867E+01    0.460665157221576216E+01    0.597047576056469964E+00    0.197519452254189005E+02   -0.133483051122849218E+03
    0.100366050850447697E+01    0.310238511779953097E+01    0.101729088204704254E+01    0.202913253919047065E+02   -0.133408169619251112E+03
    0.959975669523335129E+00    0.142360853513214347E+01    0.189207687322874740E+01    0.174165595266801354E+02   -0.133386284141085525E+03
    0.102922913282479001E+01    0.176105062475741003E+01    0.823764351490101632E+00    0.171124775036216619E+02   -0.133213361019798811E+03
    0.103701261290859503E+01    0.134369118014547895E+01    0.243188819255910005E+01    0.197569465020348147E+02   -0.133190843345445273E+03
    0.105582744221671265E+01    0.220851711252823257E+01    0.565928344629775815E+00    0.113312464968045710E+02   -0.132998728194652131E+03
    0.939015832898923430E+00    0.158772524101440693E+01    0.122803355646704659E+01    0.126921370960001116E+02   -0.132805643108448180E+03
    0.978010142311684594E+00    0.419205209091522479E+00    0.952456258300936831E+00    0.872954162817311996E+01   -0.132715447336585981E+03
    0.967096217456427043E+00    0.330278812762280771E+00    0.118726621579584091E+01    0.442191887783176529E+01   -0.132680977898155589E+03
    0.103944031605126819E+01    0.212187614742502850E+01    0.868985648765148611E+00    0.173296531719850293E+02   -0.132584667188172375E+03
    0.105048395121327909E+01    0.221953272575532834E+01    0.398608812241932675E+00    0.981584651950791454E+01   -0.132521794485939751E+03
    0.100200560282154116E+01    0.117638708001684589E+01    0.119460878466870835E+01    0.167501308357588563E+02   -0.132503559774749419E+03
    0.102909062631598935E+01    0.176583514256610585E+01    0.900872683848311873E+00    0.949080656059676286E+01   -0.132381359477916874E+03
    0.104749676711688933E+01    0.263461742904071594E+00    0.414692026505314892E+01    0.957414167648851233E+01   -0.132314708338521399E+03
    0.105001976692105203E+01    0.873825452753632548E+00    0.243874708116157191E+01    0.149647050458298256E+02   -0.132003407267197503E+03
    0.951011253679880930E+00    0.125606135985662215E+01    0.149768688656888926E+01    0.104837319664470225E+02   -0.131991166155240080E+03
    0.933529793141173347E+00    0.375006784244823432E+01    0.304283324592516280E+00    0.104831387368337250E+02   -0.131939301435102664E+03
    0.105062949414997564E+01    0.411427318091366701E+01    0.279731753473871692E+00    0.114197277478569958E+02   -0.131922688877997132E+03
    0.972159687860327248E+00    0.843716906537158806E+00    0.354077423563611404E+01    0.144283657642126162E+02   -0.131898592791152623E+03
    0.102200928675629310E+01    0.100063090885219341E+01    0.339803153388892376E+01    0.173119933658148248E+02   -0.131840875325452970E+03
    0.105103639650257152E+01    0.172072602842155864E+01    0.911820676918102535E+00    0.131164610369175811E+02   -0.131777751618382581E+03
    0.956372461632352455E+00    0.149570571930918694E+01    0.151762479525870475E+01    0.118365859959796609E+02   -0.131768731397253845E+03
    0.979300009836535201E+00    0.144675318922769391E+01    0.703682212625037273E+00    0.142447433746628693E+02   -0.131656324635638356E+03
    0.965368127001839049E+00    0.138385261799637993E+01    0.140903495573769888E+01    0.995736448353630266E+01   -0.131593495305559827E+03
    0.998061433790977670E+00    0.231297546008719834E+01    0.203680830868639084E+00    0.453253289958869576E+01   -0.131592677104384563E+03
    0.954086720828506096E+00    0.433649663925679096E+01    0.459179798662427530E+00    0.153345098569188512E+02   -0.131579867362802787E+03
    0.101260468422410366E+01    0.159406317248356688E+00    0.267061135376525094E+01    0.588680115524669745E+01   -0.131572761525966939E+03
    0.102176155918162337E+01    0.189566678708940395E+01    0.172429517252732456E+01    0.169629329808079667E+02   -0.131441564714230481E+03
    0.942176630986791719E+00    0.462824432691316234E+00    0.268257853150384662E+01    0.127269606647454285E+02   -0.131438617747510875E+03
    0.100820390901305856E+01    0.942627010668742771E+00    0.284818892631458809E+01    0.183041561820934824E+02   -0.131432250187401792E+03
    0.101501027087009632E+01    0.163104550971153195E+01    0.143845536400332108E+01    0.179854037055355711E+02   -0.131406310998373840E+03
    0.102567450269079763E+01    0.341337283965489391E+01    0.157444865576255033E+00    0.836752446583089160E+01   -0.131366395150136924E+03
    0.103342077135485022E+01    0.649565509629479454E+00    0.295036586334378903E+01    0.113268425420182890E+02   -0.131333433410083842E+03
    0.985566900618429553E+00    0.704963029932289986E+00    0.383170789328246109E+01    0.123206219845899625E+02   -0.131300664864721369E+03
