   0.933440427780151460E+000  -0.496695399284362793E+002   0.490876376628875732E+001   0.566868484020233154E+000  -0.279896146296788356E+006  -0.690775511231546968E+001    1
   0.101977605819702144E+001   0.463982403278350830E+002   0.471088230609893799E+001   0.129068642854690552E+001  -0.252370057794362598E+006  -0.690875511231548245E+001    1
   0.106827155113220229E+001  -0.370980381965637207E+002   0.483923435211181641E+001   0.624132156372070312E+000  -0.211074272786856629E+006  -0.690975511231547301E+001    1
   0.996892671585083101E+000  -0.437920391559600830E+002   0.434888839721679688E+001   0.731194019317626953E+000  -0.199893337637058197E+006  -0.691075511231547601E+001    1
   0.965772895812988308E+000  -0.450923502445220947E+002  -0.439559280872344971E+001   0.126133859157562256E+001  -0.186666025178619835E+006  -0.691175511231546658E+001    1
   0.106031919479370118E+001   0.451665103435516357E+002   0.408897042274475098E+001   0.191757977008819580E+001  -0.176776730443974840E+006  -0.691275511231547579E+001    1
   0.930127143859863281E+000  -0.373955428600311279E+002   0.496056556701660156E+001   0.215620696544647217E+001  -0.125932102040006692E+006  -0.691375511231547435E+001    1
   0.106419500350952156E+001   0.440424561500549316E+002   0.363591194152832031E+001   0.267784297466278076E+001  -0.110959465806574037E+006  -0.691475511231548357E+001    1
   0.961839065551757910E+000   0.460638046264648438E+002  -0.308045268058776855E+001   0.406943261623382568E+000  -0.103444539376724570E+006  -0.691575511231552209E+001    1
   0.100879818916320807E+001  -0.325775265693664551E+002  -0.455288946628570557E+001   0.178336352109909058E+001  -0.103367928326780864E+006  -0.691675511231554463E+001    1
   0.989547863006591810E+000  -0.366497278213500977E+002   0.467456400394439697E+001   0.292945355176925659E+001  -0.103283840450773307E+006  -0.691775511231549967E+001    1
   0.924395217895507826E+000   0.434919834136962891E+002   0.425149440765380859E+001   0.309351980686187744E+001  -0.100307903647253581E+006  -0.691875511231549378E+001    1
   0.975703878402710001E+000   0.389670431613922119E+002  -0.349549829959869385E+001   0.297819077968597412E+000  -0.995526600379022129E+005  -0.691975511231551454E+001    1
   0.970680541992187562E+000   0.348721325397491455E+002   0.417019486427307129E+001   0.182692706584930420E+001  -0.920455259036473290E+005  -0.692075511231548113E+001    1
   0.932119941711425870E+000   0.385935068130493164E+002  -0.489541411399841309E+001   0.358173400163650513E+001  -0.901232683288673725E+005  -0.692175511231547080E+001    1
   0.106524376869201665E+001  -0.402662575244903564E+002   0.300088346004486084E+001   0.133592635393142700E+001  -0.882519811499175121E+005  -0.692275511231549334E+001    1
   0.103228525161743168E+001   0.459232926368713379E+002  -0.324191451072692871E+001   0.294442325830459595E+001  -0.864280025823072647E+005  -0.692375511231548746E+001    1
