Nested Sampling Global Log-Evidence           :   -0.120693233221937044E+04  +/-    0.346280141771106942E+00
Nested Importance Sampling Global Log-Evidence:   -0.120881840005483946E+04  +/-    0.170420195912017597E+00

Dim No.       Mean        Sigma
   1    0.109850976291992608E+01    0.151515611139168161E-02
   2    0.680041263914965999E+01    0.130586406628463916E+02
   3    0.387767954578217200E+01    0.664573148802592417E+01
   4    0.129085797425736608E+02    0.488151034070096135E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.109997607914465312E+01
   2    0.445048271007033591E+00
   3   -0.269716410689198627E+01
   4    0.127633431963354198E+02

MAP Parameters
Dim No.        Parameter
   1    0.109776887569975234E+01
   2    0.320970815133637473E+02
   3   -0.358049570885290436E-01
   4    0.130628344670611298E+02
